,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Myocytes,0.061551746,0.01897215,1.0,0.0,0.0,0.0,True,Sirt2
Oligodendrocyte Precursor Cells,0.016217954,0.01178718,0.915,0.085,0.085,0.0425,True,Sirt2
Neurons,0.010462871,0.013644172,0.776,0.224,0.224,0.103,False,Sirt2
Endocrine Cells,0.016411914,0.027893864,0.73,0.27,0.27,0.14475,False,Sirt2
Oligodendrocytes,-0.0057565896,0.009342999,0.276,0.724,0.276,0.17099999999999999,False,Sirt2
Excitatory Neurons,0.004765059,0.0125739295,0.649,0.351,0.351,0.20099999999999998,False,Sirt2
Astrocytes,0.005401902,0.016518483,0.647,0.353,0.353,0.2227142857142857,False,Sirt2
Endothelial Cells,-0.00757565,0.030852785,0.405,0.595,0.405,0.2455,False,Sirt2
Neural Stem Cells,0.0038264305,0.021154992,0.576,0.424,0.424,0.2653333333333333,False,Sirt2
Medium Spiny Neurons,0.000883754,0.009541789,0.557,0.443,0.443,0.2831,False,Sirt2
GABAergic Neurons,8.4469975e-05,0.019716974,0.519,0.481,0.481,0.3010909090909091,False,Sirt2
Microglia,0.0010533753,0.018252257,0.501,0.499,0.499,0.31758333333333333,False,Sirt2
