,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.013223455,0.011248316,0.883,0.117,0.117,0.117,False,Slc30a10
Myocytes,0.01694008,0.018758683,0.806,0.194,0.194,0.1555,False,Slc30a10
Neurons,0.009602696,0.013800958,0.757,0.243,0.243,0.18466666666666667,False,Slc30a10
Excitatory Neurons,0.004974668,0.012455952,0.654,0.346,0.346,0.225,False,Slc30a10
Neural Stem Cells,0.007589783,0.02147696,0.64,0.36,0.36,0.252,False,Slc30a10
Endothelial Cells,-0.0071247714,0.03094998,0.409,0.591,0.409,0.2781666666666667,False,Slc30a10
Medium Spiny Neurons,0.0009804845,0.009560387,0.562,0.438,0.438,0.30100000000000005,False,Slc30a10
Endocrine Cells,0.0035389464,0.027718242,0.551,0.449,0.449,0.3195,False,Slc30a10
Microglia,-0.0009377469,0.018072106,0.468,0.532,0.468,0.336,False,Slc30a10
Astrocytes,0.0002551978,0.016449135,0.525,0.475,0.475,0.3499,False,Slc30a10
Oligodendrocytes,-0.00056254194,0.010358158,0.487,0.513,0.487,0.3623636363636364,False,Slc30a10
GABAergic Neurons,-0.0012565372,0.019514496,0.496,0.504,0.496,0.3735,False,Slc30a10
