,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.013957014,0.011301253,0.895,0.105,0.105,0.105,False,Slc9a3r1
Neurons,0.009780279,0.013782771,0.761,0.239,0.239,0.172,False,Slc9a3r1
Myocytes,0.0077799466,0.01872131,0.657,0.343,0.343,0.229,False,Slc9a3r1
Excitatory Neurons,0.004982799,0.012470678,0.654,0.346,0.346,0.25825,False,Slc9a3r1
Endothelial Cells,-0.008770516,0.03094361,0.395,0.605,0.395,0.28559999999999997,False,Slc9a3r1
Astrocytes,0.0029201636,0.016556593,0.593,0.407,0.407,0.30583333333333335,False,Slc9a3r1
Endocrine Cells,0.005809599,0.027771574,0.592,0.408,0.408,0.3204285714285714,False,Slc9a3r1
Medium Spiny Neurons,0.0009815005,0.009567917,0.562,0.438,0.438,0.335125,False,Slc9a3r1
Neural Stem Cells,0.001986496,0.021443002,0.535,0.465,0.465,0.34955555555555556,False,Slc9a3r1
Microglia,-0.00058640336,0.018122138,0.473,0.527,0.473,0.3619,False,Slc9a3r1
Oligodendrocytes,-0.00050426286,0.01032234,0.489,0.511,0.489,0.37345454545454543,False,Slc9a3r1
GABAergic Neurons,-0.0010905813,0.019514732,0.499,0.501,0.499,0.38391666666666663,False,Slc9a3r1
