,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.018756578,0.011738486,0.948,0.052,0.052,0.052,False,Sox21
Neurons,0.009498823,0.013784015,0.757,0.243,0.243,0.1475,False,Sox21
Excitatory Neurons,0.0047988035,0.012462647,0.65,0.35,0.35,0.215,False,Sox21
Myocytes,0.0066869147,0.018714314,0.634,0.366,0.366,0.25275000000000003,False,Sox21
Endothelial Cells,-0.008816045,0.03102606,0.395,0.605,0.395,0.2812,False,Sox21
Neural Stem Cells,-0.0048767296,0.021300895,0.401,0.599,0.401,0.3011666666666667,False,Sox21
Endocrine Cells,0.0050475523,0.02777835,0.575,0.425,0.425,0.3188571428571429,False,Sox21
Microglia,-0.001826315,0.018087734,0.451,0.549,0.451,0.33537500000000003,False,Sox21
Medium Spiny Neurons,0.00018001371,0.009537746,0.527,0.473,0.473,0.3506666666666667,False,Sox21
Oligodendrocytes,0.00041326162,0.010311896,0.522,0.478,0.478,0.36340000000000006,False,Sox21
Astrocytes,-0.0005387301,0.016521785,0.507,0.493,0.493,0.3751818181818182,False,Sox21
GABAergic Neurons,-0.0013908122,0.019512169,0.495,0.505,0.495,0.3851666666666667,False,Sox21
