,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Myocytes,0.060069766,0.01892531,0.999,0.001,0.001,0.001,True,Spon1
Oligodendrocyte Precursor Cells,0.0141349,0.011848124,0.886,0.114,0.114,0.0575,False,Spon1
Neurons,0.011442678,0.013576057,0.799,0.201,0.201,0.10533333333333333,False,Spon1
Endocrine Cells,0.015976727,0.027843023,0.727,0.273,0.273,0.14725,False,Spon1
Excitatory Neurons,0.00534599,0.012586113,0.657,0.343,0.343,0.18639999999999998,False,Spon1
Endothelial Cells,-0.0074201087,0.030989995,0.407,0.593,0.407,0.22316666666666665,False,Spon1
GABAergic Neurons,0.0013330105,0.019697351,0.542,0.458,0.458,0.25671428571428573,False,Spon1
Neural Stem Cells,0.0018076232,0.020748297,0.533,0.467,0.467,0.283,False,Spon1
Astrocytes,-0.000323045,0.016571121,0.515,0.485,0.485,0.3054444444444444,False,Spon1
Microglia,-5.3310847e-05,0.018122101,0.488,0.512,0.488,0.3237,False,Spon1
Oligodendrocytes,2.6234475e-05,0.010289377,0.512,0.488,0.488,0.3386363636363636,False,Spon1
Medium Spiny Neurons,-0.0005334363,0.009571795,0.493,0.507,0.493,0.3515,False,Spon1
