,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.015160361,0.011455633,0.907,0.093,0.093,0.093,False,Sst
Neurons,0.010444599,0.013519233,0.778,0.222,0.222,0.1575,False,Sst
Astrocytes,0.0068720058,0.016308144,0.677,0.323,0.323,0.21266666666666667,False,Sst
Excitatory Neurons,0.005726254,0.012524728,0.672,0.328,0.328,0.2415,False,Sst
Neural Stem Cells,0.009466854,0.021439143,0.667,0.333,0.333,0.2598,False,Sst
Endothelial Cells,-0.0068721017,0.031016612,0.413,0.587,0.413,0.2853333333333333,False,Sst
Oligodendrocytes,0.0014085432,0.010253881,0.569,0.431,0.431,0.3061428571428571,False,Sst
Endocrine Cells,0.004501059,0.027758114,0.568,0.432,0.432,0.32187499999999997,False,Sst
Myocytes,0.001816759,0.018722624,0.552,0.448,0.448,0.33588888888888885,False,Sst
GABAergic Neurons,-0.0020667864,0.022156235,0.485,0.515,0.485,0.35079999999999995,False,Sst
Medium Spiny Neurons,-0.00022399676,0.009563529,0.511,0.489,0.489,0.36336363636363633,False,Sst
Microglia,0.00037787834,0.018155944,0.492,0.508,0.492,0.37408333333333327,False,Sst
