,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Myocytes,0.048313674,0.018925568,0.995,0.005,0.005,0.005,True,Stab1
Oligodendrocyte Precursor Cells,0.0137976715,0.01124209,0.894,0.106,0.106,0.0555,False,Stab1
Neurons,0.009640589,0.013814545,0.758,0.242,0.242,0.11766666666666666,False,Stab1
Excitatory Neurons,0.004895198,0.012436742,0.653,0.347,0.347,0.175,False,Stab1
Astrocytes,0.0053518494,0.016298104,0.647,0.353,0.353,0.21059999999999998,False,Stab1
Endothelial Cells,-0.009176323,0.030728996,0.392,0.608,0.392,0.24083333333333332,False,Stab1
Neural Stem Cells,0.0039232285,0.021555498,0.576,0.424,0.424,0.26699999999999996,False,Stab1
Medium Spiny Neurons,0.0014420138,0.00955122,0.574,0.426,0.426,0.286875,False,Stab1
Microglia,-0.00027629855,0.018644845,0.484,0.516,0.484,0.30877777777777776,False,Stab1
Endocrine Cells,0.0005189836,0.027875468,0.513,0.487,0.487,0.3266,False,Stab1
Oligodendrocytes,-0.00062616577,0.010361891,0.487,0.513,0.487,0.3411818181818182,False,Stab1
GABAergic Neurons,-0.0011869168,0.019479996,0.498,0.502,0.498,0.35425,False,Stab1
