,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.0133688655,0.011248566,0.886,0.114,0.114,0.114,False,Tgfbr2
Neurons,0.009468838,0.01380957,0.757,0.243,0.243,0.1785,False,Tgfbr2
Myocytes,-0.008780494,0.01873142,0.319,0.681,0.319,0.2253333333333333,False,Tgfbr2
Excitatory Neurons,0.0048033586,0.0124383215,0.65,0.35,0.35,0.25649999999999995,False,Tgfbr2
Endothelial Cells,-0.010755849,0.03073955,0.364,0.636,0.364,0.2779999999999999,False,Tgfbr2
Astrocytes,0.0042740665,0.01628044,0.632,0.368,0.368,0.2929999999999999,False,Tgfbr2
Neural Stem Cells,0.0041196216,0.021536669,0.581,0.419,0.419,0.31099999999999994,False,Tgfbr2
Microglia,-0.0027612094,0.018531026,0.431,0.569,0.431,0.32599999999999996,False,Tgfbr2
Endocrine Cells,0.0038809306,0.027941449,0.557,0.443,0.443,0.33899999999999997,False,Tgfbr2
Medium Spiny Neurons,0.00077173364,0.009548707,0.555,0.445,0.445,0.34959999999999997,False,Tgfbr2
Oligodendrocytes,-0.00054997526,0.010354946,0.488,0.512,0.488,0.36218181818181816,False,Tgfbr2
GABAergic Neurons,-0.0009269955,0.019518023,0.502,0.498,0.498,0.37349999999999994,False,Tgfbr2
