,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.01282547,0.01130154,0.874,0.126,0.126,0.126,False,Tgm2
Myocytes,-0.018237976,0.018770065,0.179,0.821,0.179,0.1525,False,Tgm2
Neurons,0.009575623,0.013811098,0.757,0.243,0.243,0.18266666666666667,False,Tgm2
Excitatory Neurons,0.0047619888,0.0124357315,0.65,0.35,0.35,0.2245,False,Tgm2
Endocrine Cells,-0.011611982,0.028023306,0.353,0.647,0.353,0.2502,False,Tgm2
Astrocytes,0.004849779,0.016288998,0.641,0.359,0.359,0.2683333333333333,False,Tgm2
Microglia,-0.0035241633,0.01817988,0.42,0.58,0.42,0.29,False,Tgm2
Neural Stem Cells,0.003165381,0.021494994,0.563,0.437,0.437,0.30837499999999995,False,Tgm2
Medium Spiny Neurons,0.00087934115,0.0095473435,0.557,0.443,0.443,0.3233333333333333,False,Tgm2
Endothelial Cells,0.0027758454,0.03038418,0.537,0.463,0.463,0.3373,False,Tgm2
Oligodendrocytes,-0.0005678071,0.010351227,0.487,0.513,0.487,0.3509090909090909,False,Tgm2
GABAergic Neurons,-0.0014596956,0.019489264,0.493,0.507,0.493,0.36274999999999996,False,Tgm2
