,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.01273208,0.011241995,0.874,0.126,0.126,0.126,False,Tnfaip3
Neurons,0.009365381,0.013817795,0.755,0.245,0.245,0.1855,False,Tnfaip3
Excitatory Neurons,0.004818175,0.012445176,0.651,0.349,0.349,0.24,False,Tnfaip3
Myocytes,0.006308205,0.018721957,0.632,0.368,0.368,0.272,False,Tnfaip3
Astrocytes,0.0038233476,0.016196558,0.62,0.38,0.38,0.29359999999999997,False,Tnfaip3
Endothelial Cells,-0.00874879,0.031067863,0.395,0.605,0.395,0.3105,False,Tnfaip3
Neural Stem Cells,0.0045472207,0.021567922,0.591,0.409,0.409,0.32457142857142857,False,Tnfaip3
Endocrine Cells,0.0039479956,0.02778953,0.559,0.441,0.441,0.33912499999999995,False,Tnfaip3
Microglia,-0.0021378591,0.018118432,0.443,0.557,0.443,0.3506666666666666,False,Tnfaip3
Medium Spiny Neurons,0.0005032926,0.009547531,0.547,0.453,0.453,0.36089999999999994,False,Tnfaip3
Oligodendrocytes,-0.00077677664,0.010366283,0.48,0.52,0.48,0.3717272727272727,False,Tnfaip3
GABAergic Neurons,-0.0013698833,0.019481823,0.496,0.504,0.496,0.3820833333333333,False,Tnfaip3
