,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Myocytes,0.032029513,0.018881975,0.959,0.041,0.041,0.041,True,Tsc22d4
Oligodendrocyte Precursor Cells,0.016947543,0.011611778,0.93,0.07,0.07,0.05550000000000001,False,Tsc22d4
Neurons,0.011183087,0.013720771,0.792,0.208,0.208,0.10633333333333334,False,Tsc22d4
Excitatory Neurons,0.005449153,0.012491612,0.661,0.339,0.339,0.1645,False,Tsc22d4
Endocrine Cells,0.009467175,0.027905483,0.642,0.358,0.358,0.2032,False,Tsc22d4
Medium Spiny Neurons,0.0031064209,0.009563498,0.641,0.359,0.359,0.22916666666666666,False,Tsc22d4
Astrocytes,0.0036570744,0.016671253,0.611,0.389,0.389,0.252,False,Tsc22d4
Endothelial Cells,-0.0077081397,0.030853726,0.403,0.597,0.403,0.270875,False,Tsc22d4
Microglia,-0.002577031,0.018363938,0.434,0.566,0.434,0.289,False,Tsc22d4
Neural Stem Cells,0.0023836265,0.021182109,0.545,0.455,0.455,0.3056,False,Tsc22d4
Oligodendrocytes,0.00024885804,0.0098436335,0.517,0.483,0.483,0.32172727272727275,False,Tsc22d4
GABAergic Neurons,-0.00082590856,0.019593611,0.503,0.497,0.497,0.3363333333333334,False,Tsc22d4
