,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.012836513,0.0115460325,0.869,0.131,0.131,0.131,False,Utrn
Neurons,0.008310478,0.0136188185,0.728,0.272,0.272,0.2015,False,Utrn
Endothelial Cells,-0.014900866,0.029968612,0.306,0.694,0.306,0.23633333333333337,False,Utrn
Neural Stem Cells,-0.008957583,0.021174004,0.327,0.673,0.327,0.259,False,Utrn
Excitatory Neurons,0.0038784654,0.012534197,0.616,0.384,0.384,0.284,False,Utrn
Astrocytes,0.0037179845,0.016514031,0.613,0.387,0.387,0.30116666666666664,False,Utrn
Myocytes,0.0042866315,0.018851178,0.59,0.41,0.41,0.3167142857142857,False,Utrn
Endocrine Cells,0.005238101,0.028097933,0.578,0.422,0.422,0.32987500000000003,False,Utrn
Medium Spiny Neurons,0.00089382555,0.009483418,0.557,0.443,0.443,0.3424444444444445,False,Utrn
Microglia,-0.0017656481,0.018187309,0.453,0.547,0.453,0.35350000000000004,False,Utrn
Oligodendrocytes,-0.00042422456,0.010241765,0.491,0.509,0.491,0.366,False,Utrn
GABAergic Neurons,-0.0012883956,0.019908667,0.496,0.504,0.496,0.37683333333333335,False,Utrn
