,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocytes,-0.010239473,0.009104798,0.123,0.877,0.123,0.123,False,Zeb2
Neural Stem Cells,0.022567764,0.020635715,0.86,0.14,0.14,0.1315,False,Zeb2
Oligodendrocyte Precursor Cells,0.012046168,0.011744092,0.842,0.158,0.158,0.14033333333333334,False,Zeb2
Neurons,0.010092334,0.013711195,0.769,0.231,0.231,0.163,False,Zeb2
Endocrine Cells,0.017206077,0.027921386,0.74,0.26,0.26,0.1824,False,Zeb2
Astrocytes,0.0039170505,0.016469,0.62,0.38,0.38,0.21533333333333335,False,Zeb2
Endothelial Cells,-0.009875494,0.030853707,0.383,0.617,0.383,0.2392857142857143,False,Zeb2
Myocytes,0.0051976508,0.018785167,0.602,0.398,0.398,0.259125,False,Zeb2
GABAergic Neurons,-0.0040381434,0.020018978,0.432,0.568,0.432,0.2783333333333333,False,Zeb2
Medium Spiny Neurons,-0.001553966,0.00952542,0.442,0.558,0.442,0.2947,False,Zeb2
Microglia,0.002319358,0.018544061,0.533,0.467,0.467,0.3103636363636364,False,Zeb2
Excitatory Neurons,0.0005765791,0.012845104,0.521,0.479,0.479,0.3244166666666667,False,Zeb2
