,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
2610035D17Rik,0.42131995196678346,-1.831927851557818,3.214944107067077,-0.5698163919960169,0.5688022364852141,0.9998394022704032
9630013A20Rik,1.423291467936315,-2.607438577232929,3.0405251338957213,-0.8575619218421349,0.3911344087816505,0.9998394022704032
A1cf,0.0,,,,,
A2m,0.16710422815933534,-0.49894456458205194,3.7274517136960257,-0.1338567479623536,0.8935158525310755,0.9998394022704032
Aatf,0.40027882710553186,-0.8947954474256049,2.53236562043632,-0.3533437036913469,0.7238307850437443,0.9998394022704032
Abca1,0.22032060970778294,-0.1834666733689669,3.1832572273141544,-0.05763488787356507,0.9540394593459937,0.9998394022704032
Abca13,0.001364522603806349,-1.7344253579119262,4.274867414229094,-0.4057261172916875,0.6849438500632843,0.9998394022704032
Abca3,0.2986716839289013,-1.1973944590120658,3.2783803654589234,-0.3652396383372217,0.7149325319571262,0.9998394022704032
Abca4,0.165739705555529,-0.5064793521728537,3.869170155145696,-0.13090128680416793,0.895853396720679,0.9998394022704032
Abca7,0.03957115551038413,-1.3035244319031938,4.348831751481097,-0.2997412883262839,0.7643745022383207,0.9998394022704032
Abca8a,0.02729045207612698,-1.4206024395581585,4.3577064382006325,-0.3259977375035727,0.7444260669191851,0.9998394022704032
Abca8b,0.21952937290813299,-1.7710087015759475,3.3184352697630137,-0.5336878852852912,0.5935574922455245,0.9998394022704032
Abcb1a,0.04639376852941587,-1.2239425525238647,4.342103213651856,-0.2818778118114994,0.7780372035614933,0.9998394022704032
Abcb1b,0.001364522603806349,-1.7344253579119262,4.274867414229094,-0.4057261172916875,0.6849438500632843,0.9998394022704032
Abcb4,0.010916180830450792,-1.6025819632533251,4.36486042734443,-0.36715537413605953,0.713503124509438,0.9998394022704032
Abcb8,0.034113065095158726,-1.3556456202065574,4.352961351855333,-0.3114306584938435,0.7554732498180379,0.9998394022704032
Abcc1,0.02865497467993333,-1.407183636451247,4.356766462725791,-0.3229880803780446,0.7467042691716543,0.9998394022704032
Abcc6,0.004093567811419048,-1.6936295865677617,4.35069343829758,-0.38927807959516364,0.6970704499568425,0.9998394022704032
Abcc8,0.01364522603806349,-1.5691097019884688,4.364982681800287,-0.3594767302355728,0.719238482634387,0.9998394022704032
Abcc9,0.0,,,,,
Abcd2,0.18268726260536158,-2.1679032201804653,3.343074010566172,-0.6484759874679881,0.5166771368297928,0.9998394022704032
Abcd3,0.7400449554533128,0.128268092311163,2.594032790691847,0.049447367346868804,0.9605627806199305,0.9998394022704032
Abcf1,0.4188088577546643,0.4458308055231795,3.1672645958468832,0.14076209676570153,0.8880578872593523,0.9998394022704032
Abcg2,0.034113065095158726,-1.3556456202065574,4.352961351855333,-0.3114306584938435,0.7554732498180379,0.9998394022704032
Abcg8,0.0,,,,,
Abhd17c,0.0941520596626381,-0.8014581794990172,4.306532557856945,-0.18610289571289015,0.8523640711346036,0.9998394022704032
Abhd4,1.0034948048780268,-1.9830539249259675,3.0765428295957333,-0.6445721820770317,0.5192044668066964,0.9998394022704032
Abhd5,0.2891200257022568,-1.2516125972410987,3.282069380921747,-0.38134861027514044,0.7029445880541523,0.9998394022704032
Abi1,0.6246338199339295,-0.9601351892318566,3.1899200214389007,-0.3009903642658606,0.763421842228707,0.9998394022704032
Abi3bp,0.024561406868514286,-1.4481382783164434,4.359547579201541,-0.3321762756358477,0.7397561569386266,0.9998394022704032
Abitram,0.21952937290813299,-1.7710087015759475,3.3184352697630137,-0.5336878852852912,0.5935574922455245,0.9998394022704032
Abl1,0.6104153080917095,-0.14813134172174683,2.5621467651715553,-0.05781532257845827,0.9538957329421974,0.9998394022704032
Abracl,0.009551658226644444,-1.6198958845432259,4.364208577123618,-0.37117746686866054,0.7105053550770577,0.9998394022704032
Abraxas1,0.015009748641869842,-1.5529119545982337,4.364665976590564,-0.3557917061527999,0.7219965607379282,0.9998394022704032
Abraxas2,0.5556756376347665,-1.3776348970315615,2.453042212279079,-0.5616026051796412,0.5743868050409491,0.9998394022704032
Acaa2,0.2680789008410052,0.041757132742998304,3.152966248780733,0.013243761413286929,0.9894333161367739,0.9998394022704032
Acaca,1.2259711739892662,-0.9588961263711681,2.306417956850002,-0.4157512403696265,0.6775920419462789,0.9998394022704032
Acacb,0.004093567811419048,-1.6936295865677617,4.35069343829758,-0.38927807959516364,0.6970704499568425,0.9998394022704032
Acan,0.002729045207612698,-1.7134078098231607,4.340533447225176,-0.394745906385887,0.693030419894121,0.9998394022704032
Ace,0.004093567811419048,-1.6936295865677617,4.35069343829758,-0.38927807959516364,0.6970704499568425,0.9998394022704032
Ace2,0.005458090415225396,-1.6744512170463404,4.356924376087182,-0.3843195503315375,0.700741619514565,0.9998394022704032
Acer1,0.0,,,,,
Ache,0.06276803977509206,-1.057013817189963,4.327932761382168,-0.2442306467008039,0.8070521929587724,0.9998394022704032
Ackr1,0.042300200717996825,-1.2708526593948202,4.346076036531379,-0.29241381161133406,0.7699702493470445,0.9998394022704032
Ackr2,0.001364522603806349,-1.7344253579119262,4.274867414229094,-0.4057261172916875,0.6849438500632843,0.9998394022704032
Ackr3,0.012280703434257143,-1.5856601624730446,4.365075924651387,-0.36326061444158775,0.7164102117789024,0.9998394022704032
Ackr4,0.001364522603806349,-1.7344253579119262,4.274867414229094,-0.4057261172916875,0.6849438500632843,0.9998394022704032
Acly,1.325107619876858,-0.2512389049284552,2.5235698385276186,-0.0995569455193049,0.9206960764361853,0.9998394022704032
Acod1,0.0,,,,,
Acot6,0.04366472332180317,-1.2549467872451099,4.3447306818000095,-0.28884340115764995,0.7727012176330746,0.9998394022704032
Acox1,2.0034907102403112,-0.35738900420269454,2.2377489299903326,-0.15970916102917698,0.8731101840824259,0.9998394022704032
Acp2,0.5515820698233473,-1.4001254231704812,2.4549235535464806,-0.5703336143187857,0.568451446156113,0.9998394022704032
Acp5,0.0,,,,,
Acr,0.0,,,,,
Acsl1,0.2522779153994854,-1.492834141525813,3.298786931562109,-0.45254033452196796,0.6508797709325462,0.9998394022704032
Acsl4,7.836505565544267,-3.110375076936583,2.806850707972779,-1.1081369835957617,0.2678026608511994,0.9998394022704032
Acsl6,0.83908181972702,1.2573688330104953,3.095891166175737,0.40614116114543064,0.6846388836140781,0.9998394022704032
Acss1,0.37844646544463023,-1.0210138634534889,2.550199283374045,-0.40036630474722545,0.6888867383487827,0.9998394022704032
Acss2,0.4180176209550144,-0.8029389922360748,2.524595760394272,-0.3180465581193394,0.7504496207491478,0.9998394022704032
Actc1,0.0,,,,,
Actg2,0.001364522603806349,-1.7344253579119262,4.274867414229094,-0.4057261172916875,0.6849438500632843,0.9998394022704032
Actl6a,0.17859369479394255,-2.218377034056673,3.3448452647360964,-0.6632226182312502,0.5071879875599226,0.9998394022704032
Actl6b,0.07095517539793016,-0.9835056880419882,4.321723434093736,-0.22757256521395824,0.8199785501251998,0.9998394022704032
Actn1,0.8407612802164085,-0.606687831577059,2.694601084398068,-0.22514940526440988,0.8218630476496631,0.9998394022704032
Actn2,0.04366472332180317,-1.2549467872451099,4.3447306818000095,-0.28884340115764995,0.7727012176330746,0.9998394022704032
Actr1a,0.439849982615916,-0.7008396857417806,2.522037416197656,-0.27788631573848727,0.7810996288101631,0.9998394022704032
