,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
2610035D17Rik,199.5615628200733,0.3114683671207773,0.17878912645569986,1.7420990487246018,0.08149111403290853,0.999995028782323
9630013A20Rik,288.6712843716476,0.1696870357065262,0.23576257339027648,0.719736950892667,0.47168697089335443,0.999995028782323
A1cf,0.522546940242418,-1.3343323679918633,2.778393504790522,-0.48025319872480254,0.6310473632089005,0.999995028782323
A2m,3.5953339322011675,-0.13922982089777694,1.0496981573696504,-0.1326379587506004,0.8944797108902641,0.999995028782323
Aatf,216.43621453528462,0.14846951482349086,0.18040697612273582,0.8229699206447703,0.41052509884944566,0.999995028782323
Abca1,195.14124760065513,0.611609047966031,0.2720802843967305,2.2478991791783813,0.02458261953467542,0.999995028782323
Abca13,0.30718511277788707,-1.7052535059724907,3.775124796396356,-0.4517078501882335,0.6514794621770523,0.999995028782323
Abca3,423.3796185195849,-0.2074578782705235,0.13920689067250458,-1.4902845489063101,0.13614943339702207,0.999995028782323
Abca4,4.796503487186752,-0.7341896125349867,0.9202217674936547,-0.7978398669427793,0.42496342281558497,0.999995028782323
Abca7,107.91938682930261,-0.16020406869911505,0.21408328473129726,-0.7483259092375767,0.4542636003053947,0.999995028782323
Abca8a,68.71951529378941,-0.9802712071221226,0.7524439451530849,-1.3027830357817367,0.19264884396195792,0.999995028782323
Abca8b,108.54534976098209,-0.4497171251604019,0.2200887308975245,-2.043344624354232,0.04101833505932388,0.999995028782323
Abcb1a,62.97362045372582,-0.17275810292484717,0.276327182510626,-0.6251940230968911,0.5318437242040985,0.999995028782323
Abcb1b,12.262108540891921,-0.12787196270485493,0.5962348003393879,-0.21446578199069866,0.8301838481654525,0.999995028782323
Abcb4,13.406654715677988,-0.20562663907496515,0.5554832280089651,-0.3701761434130042,0.7112512508113167,0.999995028782323
Abcb8,63.030913286120644,-0.22240495834560411,0.26337068503850003,-0.844456011925141,0.398414634084408,0.999995028782323
Abcc1,110.85421148040793,-0.0008294508937089022,0.21185301823315852,-0.003915218676733864,0.9968761154466408,0.999995028782323
Abcc6,1.852286811493391,1.6250909088202243,1.5089220750637435,1.0769879609267254,0.2814856441848427,0.999995028782323
Abcc8,91.90117276195149,-0.04379650884847244,0.2533060597641883,-0.17289957014547613,0.8627303695393876,0.999995028782323
Abcc9,3.460686143950729,-0.08424968107993874,1.0257968006783138,-0.08213096494766621,0.9345425698289251,0.999995028782323
Abcd2,86.70882285093887,-0.04594132920644753,0.24099023068314115,-0.19063564973657426,0.8488110579167902,0.999995028782323
Abcd3,818.2388056381254,-0.07351429188371611,0.13453901704680096,-0.5464161512206033,0.5847799103505966,0.999995028782323
Abcf1,228.20758814596152,0.10769964422103154,0.16356685145981598,0.6584441973408681,0.5102527432275267,0.999995028782323
Abcg2,75.00393898226261,-0.13694846955635634,0.2516531035696625,-0.5441954325766792,0.586306994537005,0.999995028782323
Abcg8,0.18311118095946377,-0.8696279726090034,4.4419017906787985,-0.19577829803303898,0.8447836970135787,0.999995028782323
Abhd17c,217.3632364063833,0.038972308141564195,0.17058434126191982,0.22846357322871183,0.8192858716583545,0.999995028782323
Abhd4,540.7622324106316,0.011448104511746424,0.13852857294810875,0.08264074528534093,0.9341372020121447,0.999995028782323
Abhd5,374.5117002694135,-0.051803432784460646,0.16995716607243933,-0.3048028746394897,0.7605162920020678,0.999995028782323
Abi1,922.0600257379484,0.07192508727334092,0.1158064730173625,0.6210800260064688,0.5345469706126852,0.999995028782323
Abi3bp,13.591592185282892,-0.48244109241256633,0.5597358316824868,-0.8619085381088014,0.38873785020513063,0.999995028782323
Abitram,179.76980371682785,0.25693181636344725,0.17945564463302308,1.4317288090260893,0.15222144822273534,0.999995028782323
Abl1,733.1796126710133,-0.31008584180266957,0.13882092999678308,-2.2337110247702214,0.025502093124745443,0.999995028782323
Abracl,36.0402322499399,-0.37895004921877684,0.3382251015798958,-1.1204078214439117,0.2625400134398339,0.999995028782323
Abraxas1,46.35671512183998,0.40976499004211075,0.3105883807078113,1.3193184790373749,0.18706266253613524,0.999995028782323
Abraxas2,171.51721652650954,0.15646348186847425,0.18026344807932124,0.8679712029009105,0.3854100975097816,0.999995028782323
Acaa2,142.3413878866329,0.10936623094546667,0.1980545218505252,0.5522026456331406,0.5808095219719687,0.999995028782323
Acaca,668.1531255930473,-0.17370312195629897,0.12422549013330617,-1.3982888839472352,0.16202633459307691,0.999995028782323
Acacb,10.466371430780262,-0.5236346862637411,0.6443281647056532,-0.8126832178800563,0.41639970550790184,0.999995028782323
Acan,3.9232985658723085,0.28047391083047835,1.055460961327024,0.26573594013163726,0.7904425819974114,0.999995028782323
Ace,9.08254645586302,-0.7188956760575618,0.6856499010119979,-1.0484879746886775,0.29441383984875025,0.999995028782323
Ace2,4.691017731066917,0.056256048415011,0.9006200553948102,0.06246368607719901,0.9501935797574231,0.999995028782323
Acer1,0.6014923260527159,1.3364690297707007,2.7037688975859755,0.49429854414108754,0.6210953531600849,0.999995028782323
Ache,55.208027242034014,0.007830714241502914,0.295739317521048,0.02647843481597808,0.9788757340918572,0.999995028782323
Ackr1,123.44747651999295,0.08881709134225771,0.2106385525686903,0.4216563884395949,0.6732758413152792,0.999995028782323
Ackr2,1.1434686894934596,0.40734056022203613,1.7992651048001027,0.22639274175624688,0.8208959726401667,0.999995028782323
Ackr3,25.01508334636676,-0.5209153488648426,0.39808623668854726,-1.308549004853925,0.1906871644881849,0.999995028782323
Ackr4,1.1389870152737631,2.60969300786383,2.1005307728940927,1.2423969415445497,0.21409014351970557,0.999995028782323
Acly,1339.1476471735366,0.003426606442036723,0.1185384288990116,0.02890713563409895,0.9769386545883868,0.999995028782323
Acod1,0.0895824482035079,0.9694711599089978,4.453824094096601,0.217671632158531,0.8276849679587712,0.999995028782323
Acot6,105.4934225385665,-0.06141981768113176,0.22101949867654197,-0.2778932087391011,0.7810943372994701,0.999995028782323
Acox1,1211.7603567079207,-0.025346154766983608,0.1116010880824726,-0.22711386781688844,0.8203352008343191,0.999995028782323
Acp2,231.69454104746023,-0.06549451527773778,0.1594705288618201,-0.41069980607193096,0.681292669156214,0.999995028782323
Acp5,1.969788511880413,0.2886502304702834,1.5336535602695955,0.18821084366637703,0.8507113723774767,0.999995028782323
Acr,3.5492558247642094,-0.5690278875899758,1.1188385333383466,-0.5085880318155764,0.61104101969138,0.999995028782323
Acsl1,281.93675277042666,-0.30993563340510993,0.18187385621664648,-1.7041241652451544,0.08835789290344735,0.999995028782323
Acsl4,609.5392671387049,-0.07368262973504706,0.14250205378605765,-0.5170636336629146,0.6051117388015406,0.999995028782323
Acsl6,1106.684874187442,-0.07524339723649581,0.16463693148380457,-0.4570262368130783,0.647652187419533,0.999995028782323
Acss1,88.7880978284071,-0.022345483336284784,0.25239813707036407,-0.08853267934404471,0.9294533119444671,0.999995028782323
Acss2,325.0947512021152,-0.21668734643611479,0.15040439760165172,-1.440698210234613,0.14966996076479605,0.999995028782323
Actc1,0.0895824482035079,0.9694711599089978,4.453824094096601,0.217671632158531,0.8276849679587712,0.999995028782323
Actg2,1.9337239285006869,-0.21131086167509497,1.482698223239355,-0.14251778167874868,0.8866710349827934,0.999995028782323
Actl6a,104.000712259723,0.03193438294819696,0.22405626036266002,0.1425284118216898,0.8866626390628232,0.999995028782323
Actl6b,193.7206535720829,0.1469257970636277,0.17550430146548407,0.8371635101634429,0.4025006652967813,0.999995028782323
Actn1,182.5668233767376,0.10846278965449535,0.18241094855239148,0.5946067958927532,0.5521063363378294,0.999995028782323
Actn2,37.13865792068415,-0.4380851151981605,0.33966610507697576,-1.2897522262307595,0.19713670001477568,0.999995028782323
Actr1a,266.38681404543775,0.03807748569368789,0.15828362860628672,0.24056490256741261,0.8098923550708623,0.999995028782323
Actr1b,549.2220119581403,-0.06206683767370646,0.1314333512518139,-0.47223050376910997,0.6367622690317736,0.999995028782323
Actr2,2293.3251161210264,0.12316965852051906,0.11137056376717215,1.1059444646254437,0.2687505575100747,0.999995028782323
Acvr1,135.9894837211328,0.15077763716777795,0.20384973784175955,0.7396508760036798,0.45951186265074695,0.999995028782323
Acvr1b,279.0643395132036,-0.21378449166863142,0.15303072808083987,-1.3970036890610482,0.1624124617703938,0.999995028782323
Acvr1c,38.4619168511713,0.11462398910982088,0.3317720619068253,0.34549017916406666,0.7297258921753966,0.999995028782323
