,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
2610035D17Rik,42.0882076154581,0.33916502122490444,0.338047691862211,1.0033052418034223,0.3157136077893682,0.9989528241627974
9630013A20Rik,70.65106811027674,-0.19578124394392077,0.32873148091579346,-0.5955658502754451,0.5514652959018224,0.9989528241627974
A1cf,0.0,,,,,
A2m,11.196686977337373,0.15704246208946554,0.6190623461880633,0.25367794222418755,0.7997443762944599,0.9989528241627974
Aatf,60.84176662711129,0.06273414606255844,0.3089162296432778,0.20307818121113586,0.8390739252645718,0.9989528241627974
Abca1,83.56154571953071,0.5815928219693812,0.3551956582598925,1.6373871933531252,0.10154959241052575,0.9989528241627974
Abca13,0.3673413105284456,0.06289684516392058,3.375816271234425,0.018631596067555323,0.9851349971900818,0.9989528241627974
Abca3,69.45366748296112,-0.44295164847103746,0.3042965510904642,-1.4556578011932595,0.1454872408176752,0.9989528241627974
Abca4,1.4569276537651532,0.9662776430228607,1.5950800739748838,0.6057862917282456,0.5446566737462146,0.9989528241627974
Abca7,18.52135025713331,-0.4811322870452199,0.49774687937115125,-0.9666203988120989,0.33373383327928874,0.9989528241627974
Abca8a,17.946930693750915,-1.158805263810583,0.5763392888953274,-2.0106303459402732,0.044364516268418856,0.9989528241627974
Abca8b,24.228028335307442,-0.6711229352697444,0.43753965606723955,-1.5338562481445308,0.1250650215611969,0.9989528241627974
Abcb1a,10.162179563579377,0.8688963152772053,0.6518942982360193,1.3328791456350797,0.18257146728307838,0.9989528241627974
Abcb1b,1.434517113897149,-0.4674434643027057,1.548277531972424,-0.3019119341654512,0.7627191978890013,0.9989528241627974
Abcb4,1.9095934970872126,0.28982393685240737,1.348630756742024,0.2149023633070286,0.8298434422876496,0.9989528241627974
Abcb8,20.838552893829203,-0.2750099874292357,0.4791246961524437,-0.5739841624480476,0.5659785185712591,0.9989528241627974
Abcc1,27.745633999271703,0.17780748359267665,0.3905557594463521,0.4552678568733303,0.6489165478142912,0.9989528241627974
Abcc6,0.422320776720776,2.2927159373858954,3.5821300305146284,0.6400426332531851,0.5221448828402488,0.9989528241627974
Abcc8,1.3107500395695642,-0.999444342310291,1.6839679887415522,-0.5935055470129137,0.5528428718169285,0.9989528241627974
Abcc9,0.4885769281531765,1.0392938292721683,2.7772980054450556,0.3742104114267075,0.7082477786055958,0.9989528241627974
Abcd2,4.821210360654295,-0.6022822787105755,0.8816383328098306,-0.6831398503182913,0.4945184763784466,0.9989528241627974
Abcd3,236.66641498059417,-0.25837249092662556,0.2146660491055048,-1.2036020227848876,0.22874343729442037,0.9989528241627974
Abcf1,62.42062079322637,-0.022310600196175513,0.28314369641353493,-0.07879603352917523,0.9371948590247543,0.9989528241627974
Abcg2,9.079512977542144,0.0976538228275049,0.6521479662859541,0.14974181915133905,0.880968313218411,0.9989528241627974
Abcg8,0.0,,,,,
Abhd17c,44.03507382741419,0.10965267324820288,0.33429138848373474,0.3280152496466062,0.7429001324143005,0.9989528241627974
Abhd4,246.13842600373331,-0.009854669044553796,0.19535177693908778,-0.050445760970101436,0.9597671708022305,0.9989528241627974
Abhd5,136.6234916739471,-0.09579534690227956,0.23011095682353586,-0.41630067609401883,0.6771899979066573,0.9989528241627974
