,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
2610035D17Rik,78.77278350379532,-0.056755918785306114,0.2610191232515836,-0.21743969590535267,0.8278656982786678,0.9990403171375214
9630013A20Rik,172.64593691944114,-0.6158073524117421,0.2858098143790208,-2.154605340441885,0.031192730780529164,0.9990403171375214
A1cf,0.3524442015133906,-1.8730615280646694,3.897214046142791,-0.48061551300178235,0.6307897879199507,0.9990403171375214
A2m,2.0292697413179965,1.0329521063683933,1.4193510155888402,0.727763671581872,0.4667582663931721,0.9990403171375214
Aatf,76.04425629507686,-0.07433390624890167,0.26032883821190944,-0.28553850107222223,0.7752316119576238,0.9990403171375214
Abca1,71.96140295103005,0.18041891415456288,0.3351709975330321,0.5382891583177094,0.5903774350512108,0.9990403171375214
Abca13,0.464597034082753,0.9198722126819977,3.114918960482505,0.2953117639180919,0.7677557307435696,0.9990403171375214
Abca3,154.97987684389386,0.05517170317308097,0.19130930972590376,0.288390059282152,0.7730481761981869,0.9990403171375214
Abca4,1.816099876552873,-1.281357715887399,1.5038784013251376,-0.8520354536366337,0.3941944147212215,0.9990403171375214
Abca7,34.202309711277415,0.02927987083797236,0.35410567383568126,0.08268681639808843,0.9341005679623934,0.9990403171375214
Abca8a,41.875453832573676,-0.5739241858069504,0.41907169155636353,-1.369513134317162,0.17083893202999334,0.9990403171375214
Abca8b,58.45494030774529,-0.6247812755760217,0.3042255519504465,-2.053677843857733,0.040006882343681376,0.9990403171375214
Abcb1a,29.29015674149348,-0.8896098514207197,0.5335894821970874,-1.6672177415448608,0.09547111618075682,0.9990403171375214
Abcb1b,3.4613345883167526,1.057923556194663,1.1044775364838957,0.9578497717233458,0.3381385173572522,0.9990403171375214
Abcb4,5.697347270221474,-0.005534089145948218,0.8025224598840428,-0.006895868243672387,0.9944979368016784,0.9990646148667247
Abcb8,25.414577100563672,0.12398708725920508,0.4032042996050901,0.30750437775748324,0.7584594913812124,0.9990403171375214
Abcc1,36.56633310647216,-0.19568328851526365,0.34936847179393854,-0.5601057459777877,0.57540731139301,0.9990403171375214
Abcc6,0.4402672072765199,2.3558336049607913,3.3754688836696043,0.6979278097802141,0.4852223416334174,0.9990403171375214
Abcc8,15.475293151145655,-0.07180736310703358,0.5558768910291433,-0.1291785362296503,0.8972163795040818,0.9990403171375214
Abcc9,0.46569903122927725,-0.8080539026826744,2.9202584160180707,-0.2767063004597036,0.7820056336409773,0.9990403171375214
Abcd2,14.884756583208025,0.13087446046539902,0.5261964648106406,0.24871786341722396,0.8035790299637398,0.9990403171375214
Abcd3,336.39100803486167,-0.2544670235424737,0.17553027440515687,-1.4497044706665017,0.14714094852277831,0.9990403171375214
Abcf1,85.04844624774604,0.19541975851960583,0.23594684031140228,0.8282363868983841,0.40753664067647566,0.9990403171375214
Abcg2,36.22171218551578,-0.515098535784071,0.38178416602273935,-1.3491877914952382,0.1772766551361672,0.9990403171375214
Abcg8,0.0,,,,,
Abhd17c,85.00780215304889,0.19890419332868167,0.24458657615745794,0.8132261240724542,0.41608842404084256,0.9990403171375214
Abhd4,221.80305134890037,-0.14298622520731713,0.18604516365612306,-0.7685565289490995,0.4421566202997159,0.9990403171375214
Abhd5,148.97569585536874,0.11963029422716602,0.2116743857962276,0.5651618819025672,0.5719636610485745,0.9990403171375214
Abi1,369.418485151771,0.24015992353280832,0.15858467205106125,1.5143955618578406,0.12992554423633565,0.9990403171375214
Abi3bp,5.007413672935379,0.3621347148058192,0.8930047362376259,0.40552384563104515,0.6850924941073331,0.9990403171375214
Abitram,58.77754876977374,0.42591447570921565,0.28920145502543987,1.472725908905782,0.14082495748603574,0.9990403171375214
Abl1,283.15686087579854,-0.2358880624343794,0.1675896537405771,-1.4075335628983747,0.15926923216866018,0.9990403171375214
Abracl,9.904837198286838,0.15617441146107247,0.6417769126319972,0.24334688329716342,0.8077366880816739,0.9990403171375214
Abraxas1,18.21134038915721,0.06096138325836152,0.4835182960319093,0.12607875184590414,0.8996695868116814,0.9990403171375214
Abraxas2,66.81819614891697,0.18753615427975145,0.2826144046812339,0.6635760639705433,0.5069616812852528,0.9990403171375214
Acaa2,54.589886561502304,0.036652058410609624,0.3006303610019168,0.12191735488211694,0.9029644709510731,0.9990403171375214
Acaca,257.8088192528646,0.13599888417626022,0.16843154684159653,0.8074430635263476,0.41941126504359705,0.9990403171375214
Acacb,3.5979796721449286,0.6289075862075125,1.0300009930971348,0.6105893008087645,0.5414715075862326,0.9990403171375214
Acan,1.4083615538510637,1.7451095407645794,1.8536551954035494,0.9414423702379346,0.3464782091397971,0.9990403171375214
Ace,6.353426705192355,-0.7350728578293415,0.7789779512318327,-0.9436375659502786,0.34535488863612473,0.9990403171375214
Ace2,0.28947693047258194,0.09751196309276859,3.741518056373615,0.02606213884940594,0.9792077756185702,0.9990403171375214
Acer1,0.0,,,,,
Ache,28.848945013740153,0.2680819037492096,0.3722261887814431,0.7202123650322115,0.4713942518695874,0.9990403171375214
Ackr1,53.08373355572032,0.03181996330001603,0.2922708730633558,0.10887148269858007,0.9133044256752911,0.9990403171375214
Ackr2,0.14839406828400817,-0.8642786027082647,4.428123997494858,-0.19517940400883463,0.8452525022010616,0.9990403171375214
