,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
2610035D17Rik,76.63759966710218,0.014950003025353728,0.26576942070693005,0.05625178015434452,0.9551412318321203,0.9981171756121147
9630013A20Rik,118.74033781661599,-1.1603323787597364,0.28349375541023164,-4.092973325217232,4.258767292829234e-05,0.10282793628536185
A1cf,0.4748664738390429,0.5027519297791732,3.1113126607120174,0.16158836626342765,0.8716300192851323,0.9981171756121147
A2m,1.9209993454827563,1.8617656766678279,1.4174843713190473,1.3134294206964359,0.1890382891661916,0.9981171756121147
Aatf,117.31143263652051,0.10068109313247296,0.2633366954677959,0.3823283836444492,0.7022178038641333,0.9981171756121147
Abca1,126.3912209301313,0.6111806914588838,0.32631529605477566,1.872975918837376,0.06107171041448448,0.9981171756121147
Abca13,0.2344943972204995,-1.2123042177937502,3.9780828204562106,-0.3047458468083683,0.7605597286868574,0.9981171756121147
Abca3,136.95287058590287,0.12076880124799257,0.22574046101886258,0.5349896102050632,0.5926570417636186,0.9981171756121147
Abca4,2.889941636697955,0.22743297945260588,1.1016877430706555,0.206440509920441,0.8364468299218906,0.9981171756121147
Abca7,44.81027824709452,-0.15254724279532783,0.30856756951930325,-0.4943722473264801,0.621043310127567,0.9981171756121147
Abca8a,69.89580641474616,-1.2475789591709734,1.0902899127524837,-1.1442635069615628,0.25251437270117694,0.9981171756121147
Abca8b,57.97662847459562,-0.5837863798709616,0.2956651349643677,-1.9744850198225676,0.04832661913772581,0.9981171756121147
Abcb1a,22.51818977736443,-0.08732447800464885,0.4480966460739996,-0.19487866907673285,0.8454879336382134,0.9981171756121147
Abcb1b,2.1118165106328948,0.5195122730329879,1.2523333134725902,0.4148354654819764,0.6782623550435413,0.9981171756121147
Abcb4,4.083055861074032,-0.1900183837772166,0.9469164439633386,-0.20067069802050397,0.8409560732189829,0.9981171756121147
Abcb8,35.325802547961224,-0.20569637241002034,0.3928285121300813,-0.523628927275793,0.6005366576226172,0.9981171756121147
Abcc1,50.62157184202076,0.22088725544894988,0.30864640797959764,0.715664429386624,0.4741985797190358,0.9981171756121147
Abcc6,0.9612417401893777,-0.309456845735378,2.1092555924842578,-0.14671377278222747,0.8833579471388795,0.9981171756121147
Abcc8,6.883931212906134,-0.21049654490198105,0.771239315916683,-0.27293285048855187,0.7849048338067792,0.9981171756121147
Abcc9,0.9438552682800418,-1.6577935369225332,2.140173886565964,-0.7746069360665648,0.43857195751397493,0.9981171756121147
Abcd2,22.786015429587128,-0.24545119435939208,0.43019677481774954,-0.5705556357631368,0.5683008985905913,0.9981171756121147
Abcd3,390.28124234924076,0.04679933855747692,0.17569668875949543,0.26636437424007897,0.7899585996314267,0.9981171756121147
Abcf1,92.12972875980545,0.08294478381796656,0.25217818351590493,0.32891340028522026,0.7422211453921268,0.9981171756121147
Abcg2,28.30651731304326,-0.23283926311354577,0.3816237112006356,-0.610127872770286,0.5417771041923871,0.9981171756121147
Abcg8,0.13572232361267328,-0.46032403864503774,4.433790464391391,-0.10382178462017705,0.9173107782646794,0.9981171756121147
Abhd17c,98.4010598191342,0.00424390032545296,0.2346149597695831,0.018088788241043634,0.9855680221772346,0.9981171756121147
Abhd4,355.3498187413652,-0.03555970767951721,0.17304167824553543,-0.20549793575776687,0.8371831107124923,0.9981171756121147
Abhd5,237.21776100110594,-0.15084186216219148,0.18642573375902446,-0.8091257527631405,0.41844281655659255,0.9981171756121147
Abi1,339.1375051942928,0.06254212615526653,0.1827856162152567,0.34216109259720995,0.73222966360843,0.9981171756121147
Abi3bp,3.3495815360396413,-0.7404337466832768,1.0344820105798995,-0.7157531393592933,0.47414379225388736,0.9981171756121147
Abitram,71.44388475012896,0.07778589251998651,0.25770676680001,0.3018387661521952,0.7627749771777843,0.9981171756121147
Abl1,452.4430179737201,-0.18034775057871943,0.20492222715021005,-0.880079008933095,0.37881650969452607,0.9981171756121147
Abracl,7.785700245960212,0.23641560845240273,0.6997092345303018,0.33787693056688456,0.7354559329947812,0.9981171756121147
Abraxas1,24.05008082926413,-0.24661306994872628,0.4225173274833824,-0.5836756362576055,0.5594385619729174,0.9981171756121147
Abraxas2,59.00257326842125,-0.18346713039119972,0.2852956868799366,-0.6430771260429525,0.5201740559967212,0.9981171756121147
Acaa2,52.11878737573223,-0.025689862087580274,0.2991655299747947,-0.08587173157865045,0.9315683834154749,0.9981171756121147
Acaca,406.18300091809925,-0.10754633062602288,0.1691145573911691,-0.6359377470814869,0.5248169983996029,0.9981171756121147
Acacb,2.9213568473751423,0.6497974376027041,1.200224034685327,0.5413967882863361,0.588234120445289,0.9981171756121147
Acan,1.4246954953027169,-0.2722525091343069,1.6693301726726435,-0.1630908693745247,0.8704468887302628,0.9981171756121147
Ace,6.138822818312652,-0.16067143141044457,0.8201317781343731,-0.19590928640265373,0.8446811686181397,0.9981171756121147
Ace2,2.0319422574395687,0.34301501040307075,1.3358914655147225,0.25676862174645765,0.7973573943331147,0.9981171756121147
Acer1,0.2010153629169217,-0.46032403864503774,4.433790464391391,-0.10382178462017705,0.9173107782646794,0.9981171756121147
Ache,25.968458721045053,-0.6519271504406448,0.4189006449481181,-1.556281085509877,0.11964126712537664,0.9981171756121147
Ackr1,25.54971452627049,-0.16412248093324877,0.44054565788431704,-0.3725436353667245,0.7094881298542373,0.9981171756121147
Ackr2,0.2010153629169217,-0.46032403864503774,4.433790464391391,-0.10382178462017705,0.9173107782646794,0.9981171756121147
Ackr3,7.5224880363138915,0.26530310188372436,0.6903643998392114,0.38429429725158837,0.7007603342436973,0.9981171756121147
Ackr4,0.5328996656264882,2.8305804955371845,3.1025165521830598,0.9123498450138712,0.36158458289923856,0.9981171756121147
Acly,664.9024599390968,-0.08477975632978604,0.15428710801291862,-0.5494934568524503,0.5826668536828534,0.9981171756121147
Acod1,0.27385111092212117,1.468507008457143,4.1863062795273285,0.3507882391784651,0.7257472210175899,0.9981171756121147
Acot6,65.63669201859672,0.11798069320054917,0.29583317655329233,0.3988081883686083,0.6900345431167031,0.9981171756121147
