,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
2610035D17Rik,1.7070428902212538,0.5049504734871232,1.4829492705956235,0.3405042124497697,0.7334768510397958,0.9973392864709504
9630013A20Rik,1.2281217914709968,0.06856254714552465,1.7109000208974616,0.04007396476011486,0.9680341582348766,0.9977307484031009
A1cf,0.0,,,,,
A2m,0.0,,,,,
Aatf,1.1905487166089783,0.6461773301860494,1.7995058597511804,0.3590859827905184,0.719530767392462,0.9973392864709504
Abca1,2.2653815239955866,-0.6364150254327419,1.2353470892523701,-0.5151710243781762,0.6064335150041236,0.9973392864709504
Abca13,0.0,,,,,
Abca3,3.525079427056028,-0.33055923689585615,0.9682301598246653,-0.34140563949765457,0.7327982301720866,0.9973392864709504
Abca4,0.0,,,,,
Abca7,1.073744592268464,0.07933526627378829,1.7097823866380226,0.04640079748966576,0.9629908008943824,0.9977307484031009
Abca8a,0.0,,,,,
Abca8b,0.8544836026519963,0.27972914139944455,1.9216091563712523,0.14557025838057636,0.8842606482086838,0.9973392864709504
Abcb1a,0.2870493969935999,2.0139045220101166,3.8582265280938612,0.521976744326901,0.601686522658047,0.9973392864709504
Abcb1b,0.108263648921328,-0.5848663925259545,4.4314209289028,-0.13198168305595037,0.8949987798019995,0.9973392864709504
Abcb4,1.036142461738203,-0.7155462990896461,1.8325307740990233,-0.39046891282982654,0.6961898385347866,0.9973392864709504
Abcb8,0.6756978545797244,-1.3947245228714475,2.3493538076652163,-0.5936630397349654,0.5527375082682824,0.9973392864709504
Abcc1,0.6053998913394373,-1.1152565403832464,2.3398992399895833,-0.4766258825692901,0.633628549384643,0.9973392864709504
Abcc6,0.0,,,,,
Abcc8,0.108263648921328,-0.5848663925259545,4.4314209289028,-0.13198168305595037,0.8949987798019995,0.9973392864709504
Abcc9,0.0,,,,,
Abcd2,0.8996168510527429,-0.9532932791162961,2.013918116870558,-0.47335255149182803,0.6359616755449802,0.9973392864709504
Abcd3,8.519915790676189,-0.16100310931403225,0.6430392525669442,-0.25037835353180227,0.8022947679834613,0.9973392864709504
Abcf1,0.9658444984979155,-0.4924506415038173,1.8135111688692858,-0.2715454141982801,0.7859715758126697,0.9973392864709504
Abcg2,2.7936514652829185,1.8583475128488236,1.1823442064665004,1.5717483138033006,0.11600893262716526,0.9973392864709504
Abcg8,0.0,,,,,
Abhd17c,1.840440836626981,-1.801058300745565,1.684179203563415,-1.069398254612606,0.28489025346832975,0.9973392864709504
Abhd4,3.3729585921377505,-1.9001633046192783,1.1101562596960273,-1.711617880837391,0.08696711092281899,0.9973392864709504
Abhd5,0.5419059356680762,-1.0230048168272121,2.527588314315211,-0.4047355382335555,0.6856719164835332,0.9973392864709504
Abi1,5.375515232744917,-0.12319010192917437,0.8534754366788067,-0.14433936424527144,0.885232495573879,0.9973392864709504
Abi3bp,0.0,,,,,
Abitram,1.6663725684346442,1.0896992886752934,1.4229974184361909,0.7657774178345474,0.4438087531108562,0.9973392864709504
Abl1,1.4137989993784714,0.38788841500190296,1.5356020618649897,0.2525969615662096,0.8005796782156653,0.9973392864709504
Abracl,0.0,,,,,
Abraxas1,0.14388825364757948,-0.5848663925259545,4.4314209289028,-0.13198168305595037,0.8949987798019995,0.9973392864709504
Abraxas2,1.7066502794022316,0.17122191648684199,1.4064378963470765,0.12174154076163228,0.9031037131342746,0.9973392864709504
Acaa2,0.27965769836323756,0.3769260940942991,3.4506878704433026,0.1092321613098771,0.9130183518864606,0.9973392864709504
