,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
2610035D17Rik,62.0816102091097,0.11592501799358386,0.23698053023804397,0.4891752832063404,0.6247176067096366,0.9998098440668648
9630013A20Rik,39.85132910297735,-0.5950037520037121,0.28898628305708574,-2.058934236287528,0.03950053883019974,0.9998098440668648
A1cf,0.0,,,,,
A2m,2.275190874325306,0.7712424683591423,1.1864504079008418,0.6500418923734731,0.5156651618227333,0.9998098440668648
Aatf,46.07873682186861,-0.3198780253259316,0.26397426043347744,-1.2117773331409416,0.22559762724238153,0.9998098440668648
Abca1,81.68048051181671,-0.20379478245539517,0.23007344810057379,-0.8857814064937592,0.37573533110130974,0.9998098440668648
Abca13,0.0,,,,,
Abca3,134.43870846433427,0.13649243511156992,0.16983957391503682,0.803655072638436,0.4215962076403884,0.9998098440668648
Abca4,1.0327797446202693,0.24119412412536623,1.8314352654202515,0.1316967783024646,0.8952241338650152,0.9998098440668648
Abca7,26.081507432398002,0.11968135427683606,0.3531028012726588,0.3389419564089511,0.734653456573906,0.9998098440668648
Abca8a,0.8648842823840059,-0.6979447663851085,1.929170052952536,-0.3617849889992462,0.717512710431595,0.9998098440668648
Abca8b,38.13135201938183,-0.03411044706208327,0.2931823231765723,-0.11634551050862597,0.9073787183213033,0.9998098440668648
Abcb1a,22.20510081290796,-0.2585465830179372,0.37162335209471536,-0.6957221110045894,0.4866028756517198,0.9998098440668648
Abcb1b,8.040007406617196,-0.9684919409926501,0.639890130857704,-1.5135284860457072,0.13014547099982732,0.9998098440668648
Abcb4,21.233898078075594,0.07853966317661255,0.3909877691685462,0.20087498732666453,0.8407963262794602,0.9998098440668648
Abcb8,15.021400517354062,-0.40124333144898044,0.4898626997573797,-0.8190934554676425,0.4127330955375631,0.9998098440668648
Abcc1,32.50975612807935,-0.34743731930900557,0.3163399943781178,-1.0983034882832978,0.27207198922146814,0.9998098440668648
Abcc6,0.8277758808415046,-0.6215961650891787,1.9498166148652072,-0.3187972450076544,0.7498802675312963,0.9998098440668648
Abcc8,13.421856036770544,-0.0030483532607512892,0.5041196969967817,-0.006046883862922638,0.9951753141271066,0.9998098440668648
Abcc9,0.7717798803581033,-0.8166671748290074,3.658700627779543,-0.22321235266648226,0.8233702384243708,0.9998098440668648
Abcd2,18.376485381255677,0.27521394018582473,0.4212255062583665,0.6533648511232774,0.5135210930574443,0.9998098440668648
Abcd3,221.54253917604993,-0.0965377915181396,0.1452134000944812,-0.6647994706778338,0.5061787612640898,0.9998098440668648
Abcf1,37.32584770272461,0.2283983697887801,0.2938255658441973,0.777326401576266,0.4369662222719586,0.9998098440668648
Abcg2,46.53518202099739,0.08389148835548142,0.27610947916632944,0.3038341479936835,0.7612542494811584,0.9998098440668648
Abcg8,0.0,,,,,
Abhd17c,53.902819754472056,-0.18354343621654587,0.2544359452802988,-0.7213738452495212,0.470679534061929,0.9998098440668648
Abhd4,76.8844365870903,-0.19146108297108674,0.21481887736061023,-0.8912674962437614,0.3727856817916203,0.9998098440668648
Abhd5,33.76509262504345,-0.13481756343531792,0.3020812773766912,-0.44629566124087283,0.6553836899368788,0.9998098440668648
Abi1,205.350155673868,-0.1529301306974783,0.14508767814412782,-1.0540531949622896,0.2918585633724091,0.9998098440668648
Abi3bp,1.3087916926591532,0.671308856299773,1.5057136442190326,0.44584098635033637,0.6557121130653919,0.9998098440668648
Abitram,35.97419792349717,-0.030289087252386486,0.3009952237198128,-0.10062979364942239,0.9198443448363444,0.9998098440668648
Abl1,69.1372587931378,-0.056030220527303096,0.2298472584993837,-0.24377154155812275,0.8074077620660622,0.9998098440668648
Abracl,7.673802126352505,-0.5164335474167348,0.665230511111721,-0.776322701365096,0.437558472424166,0.9998098440668648
Abraxas1,13.730839147652409,-0.14666565841437984,0.4668034870109147,-0.3141914370724282,0.753375645864782,0.9998098440668648
Abraxas2,41.96291507323238,-0.04018775398130129,0.2764407520527076,-0.14537564987393353,0.8844142889975375,0.9998098440668648
Acaa2,22.557981152429402,0.37601391798688816,0.3840238864172271,0.9791420046678126,0.32750981949147606,0.9998098440668648
Acaca,110.24636405085467,-0.0188952661201197,0.18056539532710442,-0.10464500180607617,0.9166575044362074,0.9998098440668648
Acacb,2.2888114200547798,0.5268109877969857,1.1792352074759331,0.4467395346214146,0.6550631332916419,0.9998098440668648
Acan,28.09443834000187,0.13034185455375646,0.3388437753917484,0.3846665160163086,0.700484506153647,0.9998098440668648
Ace,6.419449055983908,0.5804280628252886,0.7120649649317793,0.8151335782696423,0.4149958530203921,0.9998098440668648
Ace2,1.3969908750309556,-0.8856747162783715,1.5168391001028618,-0.5838949669864859,0.5592909795565126,0.9998098440668648
Acer1,0.26891847934208873,-0.9884038778979581,3.7984588425458945,-0.26021181717885516,0.794700389370341,0.9998098440668648
Ache,33.622686482231416,-0.017970978671851476,0.3040363813597419,-0.05910798764108382,0.9528660965499468,0.9998098440668648
Ackr1,32.648005884768494,-0.3270222202351649,0.32378455876827317,-1.0099994313478329,0.31249556248508925,0.9998098440668648
Ackr2,0.0,,,,,
Ackr3,61.93829151664349,-0.24607771708420134,0.23860191604439432,-1.0313316890481972,0.3023853027952227,0.9998098440668648
Ackr4,0.14048628643067038,0.9351708974924826,4.432663356382504,0.21097268669093686,0.8329085845236474,0.9998098440668648
Acly,267.5825666697577,0.007399065602771162,0.1354114022915573,0.05464137788662782,0.9564241731951585,0.9998098440668648
Acod1,0.0,,,,,
Acot6,18.238872330623497,-0.05116440594206297,0.407798082207527,-0.12546504795975372,0.9001553940363798,0.9998098440668648
Acox1,345.1762861513287,0.08718521794623815,0.12193170395133157,0.7150332122073656,0.47458852119160444,0.9998098440668648
Acp2,74.28197616343112,-0.07145225585047936,0.21481945224468882,-0.33261538982555494,0.7394246248385061,0.9998098440668648
Acp5,0.0,,,,,
Acr,2.0812859090636704,0.5219925577510697,1.2016115872668873,0.4344103895821795,0.6639904544657464,0.9998098440668648
Acsl1,22.27329085052278,-0.0043286341452027114,0.36885492709263007,-0.01173532960321733,0.9906367766081589,0.9998098440668648
Acsl4,123.13311458088309,-0.02688290037103714,0.17233595362635057,-0.15599124735934777,0.8760399203613404,0.9998098440668648
Acsl6,265.7599764701649,-0.053817158533588795,0.1316037467379457,-0.4089333310604867,0.6825885877352713,0.9998098440668648
Acss1,63.960389675820856,-0.09536457039223004,0.2280566448109525,-0.4181617706043272,0.6758288446240004,0.9998098440668648
Acss2,42.68411568557954,-0.06472057863415971,0.2739793512947069,-0.23622429328457958,0.8132586295625687,0.9998098440668648
Actc1,0.0,,,,,
Actg2,0.14048628643067038,0.9351708974924826,4.432663356382504,0.21097268669093686,0.8329085845236474,0.9998098440668648
Actl6a,18.8939599662087,-0.7725223329698351,0.42241639823237104,-1.828817101330595,0.06742701220921869,0.9998098440668648
Actl6b,38.07550335625185,0.05718944872500678,0.28821195126830224,0.19842844293354087,0.8427098656127823,0.9998098440668648
Actn1,40.528251165255,-0.09463482759219045,0.2937889524933299,-0.3221184009440893,0.7473629986846924,0.9998098440668648
Actn2,7.9810155141115215,0.39746798965152236,0.6295649964363695,0.6313374979571226,0.5278198736929465,0.9998098440668648
Actr1a,45.83150537995502,0.01771047590570003,0.2642056782388569,0.06703291172148373,0.9465555023502283,0.9998098440668648
Actr1b,119.96628693484676,0.130201424654842,0.18120072698095013,0.7185480258505268,0.47241944684626025,0.9998098440668648
Actr2,480.7546292306807,-0.0783036753803685,0.11018839806381278,-0.7106344838139941,0.47731076835170305,0.9998098440668648
Acvr1,35.87463144994692,-0.07401242959118186,0.3005734945968023,-0.24623737928210931,0.8054984816727858,0.9998098440668648
Acvr1b,89.18444056765587,0.0649092110296989,0.19753798484706656,0.3285910356934716,0.7424648246419467,0.9998098440668648
Acvr1c,12.505322716626097,-0.039380164703853804,0.5259050114060415,-0.07488075574440402,0.9403095882545796,0.9998098440668648
Acvr2a,78.57136504019606,0.17993591822921368,0.2128956087839488,0.8451837933952722,0.39800822951825454,0.9998098440668648
Acvr2b,19.30645418435595,-0.05356629281147508,0.41713957619690645,-0.12841335578811075,0.8978218622716903,0.9998098440668648
Acvrl1,8.18725243193086,0.18695534104110015,0.6055457536486357,0.308738588148997,0.7575203877361274,0.9998098440668648
Ada,2.431792089263919,0.2565516203989986,1.149178625764359,0.2232478177431791,0.8233426377206621,0.9998098440668648
Adad1,0.0,,,,,
Adad2,0.39162030621627936,-1.9757993962858447,3.142252447522661,-0.6287844243206991,0.5294901984238074,0.9998098440668648
Adam10,177.9163118527119,-0.12718556448450316,0.15289400605999556,-0.8318544837826775,0.4054910861182065,0.9998098440668648
Adam17,23.175125345095807,-0.10438883886567557,0.363475999874717,-0.2871959603980905,0.7739622792311244,0.9998098440668648
Adam18,13.69914574370363,-0.235728195416706,0.49037371060412477,-0.4807113234644989,0.6307216821539339,0.9998098440668648
Adam28,0.14048628643067038,0.9351708974924826,4.432663356382504,0.21097268669093686,0.8329085845236474,0.9998098440668648
Adamdec1,0.0,,,,,
Adamts1,37.63424807592569,-0.23375797027845585,0.3412279082268816,-0.6850493896971369,0.4933127551809824,0.9998098440668648
Adamts13,0.14048628643067038,0.9351708974924826,4.432663356382504,0.21097268669093686,0.8329085845236474,0.9998098440668648
Adamts14,0.26395785451963194,-1.7289558727891539,3.48914221889467,-0.4955246201849783,0.6202298474227095,0.9998098440668648
Adamts18,0.3219753246157275,1.8079839212364452,3.2896222817122074,0.5496022845198545,0.5825921915669199,0.9998098440668648
Adamts20,17.674053949102326,0.16391041195944958,0.42806884392871747,0.38290666159003184,0.7017889718876691,0.9998098440668648
Adamts3,21.790437905182554,0.29400079813629065,0.41832090370828384,0.7028116346328037,0.482173145596967,0.9998098440668648
Adamts5,9.437694721931264,-0.1181401720168385,0.5792604691820846,-0.20394999883843679,0.83839257270309,0.9998098440668648
Adamts6,22.627968688269306,0.19821370026016424,0.3821130121312881,0.5187305691439293,0.6039486412396093,0.9998098440668648
Adar,85.88973560134838,0.07872254447297856,0.2135504414279981,0.3686367677189799,0.7123984860851189,0.9998098440668648
Adarb1,99.42949467241037,-0.1707220483974887,0.1953783886160534,-0.8738021109027676,0.3822260306855738,0.9998098440668648
