,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
2610035D17Rik,4.314530366852172,0.5517704549776493,0.8463831609826139,0.651915681234806,0.5144555682864932,0.9998163285985017
9630013A20Rik,2.694850890179976,-1.7505907818436057,1.1995796835215187,-1.4593368042917532,0.14447243030707907,0.9998163285985017
A1cf,0.0,,,,,
A2m,6.711449366222898,1.5776718981183433,0.8394270603967683,1.879462758053847,0.06018133407168843,0.9998163285985017
Aatf,3.5094094062031185,0.42366408950187395,0.9394919959265454,0.4509501851413307,0.652025452408556,0.9998163285985017
Abca1,4.533609144133248,-0.23012919769882126,0.8328657355292244,-0.276310079622367,0.7823099147508289,0.9998163285985017
Abca13,0.0,,,,,
Abca3,9.347671997840655,-0.13133662326316403,0.5836998505443944,-0.22500712162367595,0.8219737340598329,0.9998163285985017
Abca4,0.29541734354768595,0.27792451772248705,3.302172413300852,0.08416414497408804,0.932925925173185,0.9998163285985017
Abca7,3.8836459314270884,0.10489480979567442,0.9068897895099985,0.11566434092542835,0.9079185683373321,0.9998163285985017
Abca8a,0.19987660619152467,-1.1726034659847278,4.1527723261078044,-0.2823664226937654,0.777662558668768,0.9998163285985017
Abca8b,1.6150314278022309,-1.1527772580299105,1.4417665809592801,-0.7995588698296153,0.4239664256300788,0.9998163285985017
Abcb1a,2.2172173714702965,1.510299921419134,1.2836982428657497,1.1765225432166322,0.2393861294625167,0.9998163285985017
Abcb1b,0.19987660619152467,-1.1726034659847278,4.1527723261078044,-0.2823664226937654,0.777662558668768,0.9998163285985017
Abcb4,2.339348551833621,0.9364083648115402,1.1789886205305697,0.794247161088066,0.427051558082265,0.9998163285985017
Abcb8,1.2758587157956336,-2.6259053142358315,1.879306639751441,-1.397273472403171,0.16233134986545694,0.9998163285985017
Abcc1,3.3873792483202965,1.4614150812455955,1.0070656911710179,1.4511616213896228,0.1467348608890536,0.9998163285985017
Abcc6,0.28883931787501244,1.409911716077528,3.7646378530761004,0.3745145671649356,0.708021520846944,0.9998163285985017
Abcc8,0.4674072440099586,-0.9785972172388403,2.5795709022481894,-0.37936434171511135,0.7044173261894591,0.9998163285985017
Abcc9,0.0,,,,,
Abcd2,0.560003164639428,-2.533631495947489,2.83702522691009,-0.8930592057889319,0.3718254675827187,0.9998163285985017
Abcd3,19.192315226340117,-0.26851754849177506,0.43634549419273727,-0.6153783001438964,0.5383049186489268,0.9998163285985017
Abcf1,4.618660552077054,0.8914756192070101,0.8557394432068782,1.0417605806110921,0.2975226942615379,0.9998163285985017
Abcg2,4.3416188691942805,-0.5571353414285964,0.8447024373979536,-0.6595640272387667,0.5095336453463093,0.9998163285985017
Abcg8,0.0,,,,,
Abhd17c,6.08150587465477,0.6216266954822671,0.7397645247873026,0.8403034677298125,0.4007382576087737,0.9998163285985017
Abhd4,9.146421935214953,-0.061902417782273365,0.600339087996891,-0.1031124226623637,0.9178737457201356,0.9998163285985017
Abhd5,3.9055294096401862,0.6613527190997003,0.89735701335526,0.7370006689164565,0.46112194258145034,0.9998163285985017
