,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
2610035D17Rik,17.22968537003018,-0.35470841615101756,0.472437512087241,-0.750804936263225,0.4527700582331723,0.999172122586031
9630013A20Rik,7.737258597919131,-0.3067801632991684,0.6647878079838685,-0.4614708025851952,0.6444608643965232,0.999172122586031
A1cf,0.0,,,,,
A2m,1.2526370345520912,-0.6854627866403038,1.6787466373742488,-0.408318188927214,0.68304008733236,0.999172122586031
Aatf,10.350609101762908,0.16788543973754758,0.5564277546557688,0.3017201035225302,0.7628654416910419,0.999172122586031
Abca1,17.126875591058894,0.058191811380826686,0.46150949016556575,0.1260901728368586,0.8996605463253056,0.999172122586031
Abca13,0.1433348737997729,0.6453349231612325,4.429046928017949,0.1457051446167511,0.8841541598996563,0.999172122586031
Abca3,27.933435104836505,-0.2001012292605516,0.3644255494062336,-0.5490867190475004,0.5829459390208891,0.999172122586031
Abca4,0.22827861480135395,-1.2782400081443128,4.114399733536817,-0.310674725580325,0.7560479131563551,0.999172122586031
Abca7,3.190993324970559,0.7932018283122664,1.037243111315487,0.7647212304030494,0.4444375613251835,0.999172122586031
Abca8a,0.8438070052408583,1.6257271341381847,2.2328489910372,0.7280954245736986,0.4665551744856078,0.999172122586031
Abca8b,6.2531563733413025,0.6330919089765963,0.7434464179787232,0.8515636011776638,0.39445634903908544,0.999172122586031
Abcb1a,10.100729427134524,-0.45123989778589246,0.6721499927496225,-0.6713380981229593,0.502005169566969,0.999172122586031
Abcb1b,1.2224689776795976,0.6819803037729977,1.7395766818842524,0.39203808080153096,0.6950300769708773,0.999172122586031
Abcb4,6.812357989339702,0.10088640539476065,0.6832331214445192,0.1476602966516941,0.8826108667550362,0.999172122586031
Abcb8,3.807811937447599,0.24222153323484213,0.9122196310814129,0.2655298406017581,0.7906013251393336,0.999172122586031
Abcc1,8.137797148777851,-0.15424067528301744,0.6350567237170252,-0.24287700534880963,0.8081006793599574,0.999172122586031
Abcc6,0.0,,,,,
Abcc8,0.9534741031759623,-0.14903659391331173,1.8536074293594373,-0.08040353720680501,0.9359163137310117,0.999172122586031
Abcc9,0.11930033191061355,0.6453349231612325,4.429046928017949,0.1457051446167511,0.8841541598996563,0.999172122586031
Abcd2,1.799117494533366,1.2948378469787702,1.4706738673443787,0.8804384681947748,0.3786218249074573,0.999172122586031
Abcd3,52.6032687798313,0.051859625864216635,0.26132166292661063,0.198451308182517,0.8426919774767565,0.999172122586031
Abcf1,5.441802889069263,-0.27082802691717095,0.7571380711243753,-0.3576996551170413,0.7205680912270301,0.999172122586031
Abcg2,12.090680024276311,-0.6718166412838589,0.5285610320950077,-1.2710294563733584,0.20371816955912736,0.999172122586031
Abcg8,0.0,,,,,
Abhd17c,16.436286784272514,-0.057602077804695624,0.4655292744755164,-0.12373459836568257,0.9015254166174945,0.999172122586031
Abhd4,25.649236394939052,0.300236211496273,0.3849163365041879,0.780003816473522,0.43538862876010276,0.999172122586031
Abhd5,12.027233709431002,-0.2532350662691325,0.5599848718192083,-0.45221769196452455,0.6511121640327544,0.999172122586031
Abi1,35.57988445487664,0.08357823815286053,0.3137194794519881,0.2664107383413258,0.7899228959800877,0.999172122586031
Abi3bp,0.4622183991773781,0.5571178381950594,2.8183404207729654,0.19767584997495186,0.8432986857812417,0.999172122586031
Abitram,7.272665303085341,0.3590329966775497,0.668167316861819,0.5373399560514568,0.5910328105053324,0.999172122586031
Abl1,19.09854814525013,-0.26561846791865934,0.41185951293526907,-0.6449249308960503,0.5189758346209299,0.999172122586031
Abracl,1.692987390493481,-0.8750733078606332,1.424008697135101,-0.6145140192058897,0.5388757119297543,0.999172122586031
Abraxas1,3.835803811492706,0.280509664557962,0.9245489718396183,0.3034016294451324,0.7615838040467365,0.999172122586031
Abraxas2,6.569805567251845,0.2792421687059895,0.7100764362761086,0.3932564924565501,0.6941300488425232,0.999172122586031
Acaa2,7.48465468424486,0.13949364952169177,0.6784068028483491,0.20561947335435865,0.8370881650163944,0.999172122586031
Acaca,23.685960426917262,0.21494615478889056,0.37579383140538974,0.5719789331959954,0.5673362469617715,0.999172122586031
Acacb,1.2351714962452014,-0.9148557159414681,1.6276641796036917,-0.562066627382695,0.5740706249448264,0.999172122586031
Acan,9.115833738563778,0.3965931181264818,0.6715912288970542,0.5905275427402494,0.5548370259792377,0.999172122586031
Ace,1.4522252760897592,-0.19070035521713555,1.5370909349421087,-0.12406576011998788,0.9012632081262644,0.999172122586031
Ace2,0.11930033191061355,0.6453349231612325,4.429046928017949,0.1457051446167511,0.8841541598996563,0.999172122586031
Acer1,0.0,,,,,
Ache,6.929706205456842,0.344757087043115,0.7085554895319742,0.48656328563742995,0.6265678469532627,0.999172122586031
Ackr1,3.7195570880153386,-0.07293055664859037,0.950452250873297,-0.07673247822979021,0.9388363668087264,0.999172122586031
Ackr2,0.0,,,,,
Ackr3,18.390001256339318,-0.08050122890907724,0.4437605003288744,-0.18140692749674014,0.8560481817358441,0.999172122586031
Ackr4,0.0,,,,,
Acly,52.049048270877826,-0.07319550684740261,0.26989111874714905,-0.2712038365218559,0.7862342624053945,0.999172122586031
Acod1,0.11930033191061355,0.6453349231612325,4.429046928017949,0.1457051446167511,0.8841541598996563,0.999172122586031
Acot6,5.033195777801718,0.28294114739422976,0.8365622295615108,0.3382188884412521,0.735198242816589,0.999172122586031
Acox1,78.49369566447903,-0.20051468957464078,0.245664560776098,-0.8162133314678326,0.41437813330944584,0.999172122586031
Acp2,14.572142737880398,0.041789080159760315,0.5015319530822968,0.0833228668740536,0.9335948183783143,0.999172122586031
Acp5,0.0,,,,,
Acr,0.5340105497597524,-2.721378569473469,2.9496180406591708,-0.9226206688325328,0.35620492066575227,0.999172122586031
Acsl1,1.924658535920251,-1.1555854439683726,1.349001262965339,-0.8566229518778916,0.39165329696140194,0.999172122586031
Acsl4,13.704485902231424,-0.13148896025416,0.522373660558521,-0.25171437647444206,0.8012618439098455,0.999172122586031
Acsl6,61.80247434023659,0.2674665274884235,0.25399922549274734,1.0530210356726488,0.2923313511951412,0.999172122586031
Acss1,15.914787804393784,-0.21377636100608619,0.45725556196194306,-0.4675205263525664,0.6401275098983688,0.999172122586031
Acss2,8.473130453064899,0.19784625884364732,0.6645236585742172,0.29772643349996075,0.7659119668133234,0.999172122586031
Actc1,0.0,,,,,
Actg2,0.0,,,,,
Actl6a,5.429665172034191,0.1503979341674341,0.7606179554137728,0.19773124351977506,0.8432553435113601,0.999172122586031
Actl6b,3.4770000298239423,0.8202656776226831,0.973922026753599,0.8422293110639435,0.39965961004495987,0.999172122586031
Actn1,2.969885120744646,-0.05702192785542234,1.0399981525166662,-0.054828874183513086,0.9562747967235882,0.999172122586031
Actn2,0.17554865157783237,-1.2782392289568925,4.429068527037932,-0.2886022695638335,0.7728857585155575,0.999172122586031
Actr1a,8.827099476971854,-0.11888752288069611,0.6429051276221323,-0.18492234355077705,0.8532899456077205,0.999172122586031
Actr1b,10.022960814738349,0.4352972732534833,0.5857501941601955,0.7431449064691814,0.4573939543886818,0.999172122586031
Actr2,72.07247574057538,0.001123513504897007,0.22614079168067502,0.0049682036422843984,0.9960359633263209,0.9996235650032265
Acvr1,9.03561465510555,-0.2598489126554628,0.5916182007257332,-0.43921723898404114,0.660504135041009,0.999172122586031
Acvr1b,10.204655170343047,-0.011630692644253541,0.5835600791692701,-0.019930583087195534,0.984098748211348,0.999172122586031
Acvr1c,0.2962008412789721,-0.31644909772210494,3.340999753644342,-0.09471688747564981,0.9245397040176835,0.999172122586031
Acvr2a,14.565783069087146,0.025638324628144693,0.48787371911925403,0.05255114924909033,0.9580895403991336,0.999172122586031
Acvr2b,4.054668211281786,-0.6779716265848185,0.9278851605901456,-0.7306632925928256,0.46498484197914225,0.999172122586031
Acvrl1,3.0313552223071483,-1.135647199987158,1.0642060803573512,-1.0671309072071995,0.28591272695073955,0.999172122586031
Ada,0.6672483793593434,1.318394435280424,2.382147307969554,0.5534479042793411,0.5799567439807148,0.999172122586031
Adad1,0.11930033191061355,0.6453349231612325,4.429046928017949,0.1457051446167511,0.8841541598996563,0.999172122586031
Adad2,0.0,,,,,
Adam10,32.946777689354526,0.16008945244732437,0.3181539894725375,0.5031822882772401,0.6148361162354662,0.999172122586031
Adam17,6.426694760485984,0.14151059340508546,0.7207847248226682,0.19632851326018422,0.8443530452932059,0.999172122586031
Adam18,3.2834189516326853,0.06622254072181391,0.9922067227101604,0.06674268497287593,0.9467865523564609,0.999172122586031
Adam28,0.15286596747919926,-1.2782392289568925,4.429068527037932,-0.2886022695638335,0.7728857585155575,0.999172122586031
Adamdec1,0.0,,,,,
Adamts1,11.568235249048243,-0.5026181558172211,0.5397212696537926,-0.9312550460344623,0.35172164973542686,0.999172122586031
Adamts13,0.11930033191061355,0.6453349231612325,4.429046928017949,0.1457051446167511,0.8841541598996563,0.999172122586031
Adamts14,0.0,,,,,
Adamts18,0.0,,,,,
Adamts20,2.654640729558343,-0.9921771903916653,1.164446749996321,-0.852058877226288,0.3941814145818181,0.999172122586031
Adamts3,3.4070332314309817,0.028738727891040323,0.9610013690602799,0.029904981216772496,0.976142833191158,0.999172122586031
Adamts5,2.3774479817142864,0.6917498466071158,1.1879188895581767,0.582320773486815,0.5603506354879735,0.999172122586031
Adamts6,4.4630348423354835,0.4498806506034863,0.8829723459220156,0.5095070674424269,0.6103968457364566,0.999172122586031
Adar,12.9292470221375,0.20816051305619154,0.5242602625213862,0.3970556762304677,0.6913264042199638,0.999172122586031
Adarb1,14.068984417807789,0.6254591646525922,0.5179751855301455,1.207507969734954,0.22723657767681815,0.999172122586031
Adcy1,49.21780455580042,0.03168944160810344,0.29334106096759793,0.10802934135294416,0.9139724173706077,0.999172122586031
Adcy2,10.624171662566793,0.3244957665833636,0.5680846919125264,0.5712101931331911,0.5678571694996798,0.999172122586031
Adcy3,3.1395130792414805,-0.012149155084019429,1.0414835585178743,-0.011665239441041949,0.9906926966386477,0.999172122586031
