,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
2610035D17Rik,25.205309141431915,0.38876550154138817,0.36504851269705946,1.0649694164457824,0.2868897699182462,0.9987334882743966
9630013A20Rik,23.096603905614064,0.009660856689287282,0.43067971502302066,0.022431650138829713,0.9821036335392296,0.9987334882743966
A1cf,0.0,,,,,
A2m,3.800748731561917,0.8998993754252045,0.9935189428454778,0.9057697207542483,0.36505775080741254,0.9987334882743966
Aatf,29.447150217107065,-0.20987436371837642,0.36521636672459457,-0.5746576080382516,0.5655228828647336,0.9987334882743966
Abca1,40.95138847405729,0.16468318272261195,0.3188007023670266,0.5165709532628842,0.6054556967030504,0.9987334882743966
Abca13,0.0,,,,,
Abca3,52.517695901198074,-0.03416638040970414,0.2727260579587472,-0.12527728617289727,0.9003040335123177,0.9987334882743966
Abca4,0.3677065536866683,2.0879272224730534,3.2799031678541946,0.6365819707534338,0.5243971719899378,0.9987334882743966
Abca7,18.22976839182062,0.010331899984202957,0.42623855424467333,0.024239712436412184,0.9806614014835119,0.9987334882743966
Abca8a,1.2757581767558341,1.5210581906780936,1.6889625023398251,0.9005873064504847,0.3678077861320742,0.9987334882743966
Abca8b,13.87500721811611,-0.41235519075442706,0.49933590520324783,-0.8258072100514853,0.408913463435158,0.9987334882743966
Abcb1a,13.962098515135011,0.23251574369236544,0.5462681233812033,0.4256439900852654,0.670367280710841,0.9987334882743966
Abcb1b,4.37014699931048,0.07200816024178222,0.8769381204207961,0.08211316005652637,0.9345567282536447,0.9987334882743966
Abcb4,10.531921708320366,-0.2750267144455699,0.5710561072781278,-0.4816106700205915,0.6300825449679406,0.9987334882743966
Abcb8,7.242316017584693,0.5659327213660695,0.6608883714514213,0.8563211970626546,0.3918201396287603,0.9987334882743966
Abcc1,10.623616311876315,-0.35938202055791857,0.5564637647262471,-0.6458318462743335,0.5183882612397113,0.9987334882743966
Abcc6,0.5059084233474391,-0.6817476083887778,2.6088986594913317,-0.26131624772335965,0.793848637888369,0.9987334882743966
Abcc8,0.49607745477145676,-0.7882581140126677,2.6184846661496093,-0.3010359862720807,0.7633870534677334,0.9987334882743966
Abcc9,1.3876915668579308,2.8777022589527212,1.8802181498098622,1.5305150943488819,0.12588928013405884,0.9987334882743966
Abcd2,3.5651650495934,0.15886561226419108,0.9371937593441885,0.1695120253205261,0.8653939143980023,0.9987334882743966
